customer_id,region,customer_segment,product_count,deposit_balance,monthly_transactions,annual_fee_revenue,annual_interest_revenue,personal_loan_balance,loan_status,support_tickets_ytd,closed_account
1,Northeast,Mass Market,2,6858.21,12,80.51,26.57,0.0,No Loan,0,1
2,West,Emerging Affluent,2,13567.21,18,96.49,183.67,0.0,No Loan,2,0
3,West,Mass Market,2,0,12,45.74,0,12572.46,30+ Delinquent,0,0
4,Northeast,Emerging Affluent,2,22042.68,22,71.15,60.54,0.0,No Loan,0,0
5,Northeast,Mass Market,2,3890.11,13,117.71,10.9,0.0,No Loan,0,0
6,South,Mass Market,1,3376.61,15,49.6,187.69,0.0,No Loan,0,0
7,West,Mass Market,1,5703.07,22,74.35,0,0.0,No Loan,0,0
8,South,Emerging Affluent,2,4626.55,26,104.83,99.53,0.0,No Loan,0,0
9,South,Mass Market,2,0,14,18.92,123.02,4215.25,Current,0,0
10,Northeast,Mass Market,2,1572.33,14,21.83,169.56,0.0,No Loan,0,0
11,Midwest,Mass Market,1,2709.84,6,73.46,113.17,0.0,No Loan,2,1
12,West,Mass Market,4,5711.16,9,67.44,117.12,0.0,No Loan,0,0
13,Northeast,Mass Market,1,0,20,49.58,143.23,0.0,No Loan,0,0
14,South,Mass Market,2,6726.97,16,0,38.4,0.0,No Loan,3,0
15,Midwest,Emerging Affluent,2,27790.35,32,79.42,136.89,0.0,No Loan,0,0
16,Northeast,Mass Market,2,6792.06,25,149.77,49.17,2901.4,Current,0,0
17,Northeast,Mass Market,1,11784.8,14,126.21,123.3,0.0,No Loan,2,0
18,West,Mass Market,2,5189.2,18,0,104.39,3852.71,30+ Delinquent,0,1
19,South,Affluent,3,39976.42,23,253.3,349.29,20494.8,30+ Delinquent,0,0
20,Northeast,Mass Market,1,7919.62,21,180.96,67.13,0.0,No Loan,1,0
21,West,Emerging Affluent,3,17644.29,29,16.57,137.86,0.0,No Loan,1,0
22,South,Mass Market,1,6967.73,20,86.5,0,0.0,No Loan,0,0
